Time [s];Velocity [km/h];Longitudinal Acceleration [m/s2];SOC [%];Battery Temperature [degC];Battery Voltage [V];Battery Current [A];Heating Power CAN [kW];Ambient Temperature [degC]
736.0;48.34;0.251;70.44;27.11;356.53;37.34;0.091;13.21
737.0;48.85;0.097;70.41;26.99;355.72;32.57;0.302;13.7
738.0;47.86;-0.3027;70.35;27.11;356.21;-12.11;0.344;14.09
739.0;47.92;-0.0167;70.45;26.91;356.08;35.67;0.144;13.76
740.0;50.27;0.602;70.27;27.04;353.55;43.28;0.216;13.59
741.0;50.75;0.1385;70.51;27.31;357.84;44.7;0.089;13.64
742.0;49.78;-0.3207;70.23;26.72;355.84;-18.13;0.216;13.04
743.0;49.59;-0.1374;70.26;27.06;355.4;37.3;0.053;13.55
744.0;51.07;0.3947;70.19;27.14;355.18;43.26;0.021;14.06
745.0;51.85;0.1441;70.24;27.29;356.38;50.94;0.399;13.65
746.0;52.63;0.1865;70.26;27.25;354.92;51.85;0.142;13.68
747.0;52.1;-0.1828;70.17;27.33;353.1;48.45;0.27;13.22
748.0;51.79;-0.1205;70.31;26.85;356.58;45.55;0.048;13.39
749.0;51.69;0.0512;70.17;27.17;356.43;40.08;0.0;14.1
750.0;52.43;0.207;70.16;27.12;355.55;47.68;0.191;13.95
751.0;52.42;0.0082;70.05;27.04;354.19;44.17;0.328;13.48
752.0;52.16;-0.1437;70.15;27.04;355.86;46.79;0.308;13.64
753.0;54.15;0.5279;70.09;27.34;353.88;43.91;0.162;13.79
754.0;54.14;0.005;70.04;27.11;354.3;45.74;0.381;13.5
755.0;53.89;-0.1116;70.01;27.24;354.57;46.85;0.163;13.3
756.0;52.78;-0.2716;70.27;27.11;357.02;-15.14;0.422;13.76
757.0;53.96;0.2803;70.02;27.25;355.06;48.24;0.133;13.94
758.0;53.94;-0.0172;69.91;27.51;354.74;43.93;0.21;13.95
759.0;53.92;-0.0282;69.96;27.29;357.71;40.85;0.513;14.02
760.0;54.5;0.1672;70.0;27.16;355.87;53.27;0.367;13.41
761.0;54.22;-0.1037;70.03;27.48;355.92;56.47;0.166;13.81
762.0;54.36;0.0292;70.02;27.27;355.04;48.44;0.163;13.73
763.0;54.38;-0.0056;70.01;27.26;354.76;41.36;0.249;13.78
764.0;54.27;-0.0592;69.89;26.97;352.61;43.46;0.053;13.75
765.0;53.06;-0.3165;69.96;27.13;356.53;-19.35;0.074;13.63
766.0;54.24;0.3376;69.84;27.34;355.68;51.89;0.257;13.05
767.0;53.91;-0.0945;69.85;27.2;354.94;41.37;0.0;14.09
768.0;53.53;-0.1232;69.81;26.96;354.91;45.36;0.0;13.88
769.0;55.36;0.5391;69.78;27.31;355.88;48.37;0.107;13.43
770.0;55.43;0.0111;69.94;27.18;353.47;51.12;0.285;13.92
771.0;55.25;-0.0621;69.9;27.44;354.54;46.12;0.155;13.69
772.0;54.63;-0.1689;69.91;27.35;353.9;40.64;0.245;13.7
773.0;55.32;0.2606;69.82;27.02;357.21;50.04;0.135;13.61
774.0;54.55;-0.2673;69.86;27.2;356.23;-19.54;0.209;13.93
775.0;54.7;0.0714;69.65;27.19;352.09;46.64;0.112;13.6
776.0;53.95;-0.2836;69.84;27.53;353.31;-20.03;0.022;13.53
777.0;54.87;0.2647;69.77;27.22;354.83;45.23;0.333;14.08
778.0;54.7;0.014;69.79;27.29;354.47;43.58;0.195;13.76
779.0;53.9;-0.201;69.76;27.43;353.38;50.31;0.092;13.76
780.0;54.68;0.2215;69.64;27.2;357.05;48.49;0.23;13.97
781.0;54.68;-0.0215;69.58;27.22;354.97;48.91;0.461;13.63
782.0;55.83;0.3194;69.63;27.41;355.27;54.04;0.0;13.68
783.0;55.3;-0.1557;69.72;27.4;354.05;43.32;0.03;13.88
784.0;54.79;-0.174;69.71;27.31;355.74;44.84;0.093;13.41
785.0;54.95;0.0322;69.54;27.48;354.05;47.83;0.06;13.86
786.0;54.84;-0.0222;69.55;27.53;354.2;44.84;0.148;13.61
787.0;54.7;-0.0682;69.56;27.28;355.28;50.1;0.265;14.01
788.0;54.19;-0.1754;69.57;27.49;352.63;45.73;0.261;13.94
789.0;54.76;0.104;69.48;27.27;356.3;43.05;0.182;13.9
790.0;54.41;-0.0806;69.46;27.82;354.57;46.95;0.166;13.4
791.0;54.12;-0.0595;69.49;27.63;355.96;47.09;0.287;13.77
792.0;55.18;0.3054;69.55;27.58;353.25;51.16;0.101;13.51
793.0;55.12;0.021;69.44;27.72;353.19;48.94;0.076;13.79
794.0;53.82;-0.3573;69.51;27.33;353.05;-24.18;0.228;13.22
795.0;54.83;0.2951;69.59;27.39;354.91;48.37;0.064;13.41
796.0;55.51;0.2005;69.38;27.59;354.27;46.98;0.0;14.1
797.0;55.55;0.0087;69.46;27.58;353.79;44.91;0.18;13.89
798.0;55.54;-0.0251;69.54;27.7;353.3;48.91;0.274;13.71
799.0;54.95;-0.0744;69.41;27.6;352.73;45.87;0.053;13.57
800.0;54.42;-0.164;69.39;27.53;354.14;53.46;0.392;13.53
801.0;54.29;-0.0651;69.51;27.5;353.89;51.94;0.417;13.85
802.0;55.15;0.2567;69.38;27.41;353.36;49.92;0.122;13.71
803.0;55.17;0.017;69.48;27.58;356.24;48.93;0.15;14.19
804.0;55.72;0.0962;69.41;27.55;354.15;47.58;0.34;13.75
805.0;55.61;0.0147;69.33;27.78;355.61;42.79;0.049;13.81
806.0;54.88;-0.2082;69.38;27.51;353.55;46.27;0.389;13.45
807.0;54.21;-0.2289;69.36;27.46;354.43;46.91;0.145;13.71
808.0;54.77;0.2025;69.4;27.59;354.16;47.95;0.139;13.84
809.0;55.09;0.1152;69.26;27.48;351.9;49.22;0.361;13.71
810.0;54.85;-0.1198;69.29;28.07;355.72;50.79;0.133;13.68
811.0;54.62;0.0091;69.27;27.64;353.8;44.12;0.134;13.88
812.0;55.12;0.1654;69.32;27.62;354.95;44.63;0.032;14.18
813.0;54.67;-0.126;69.16;27.76;352.84;52.74;0.218;13.84
814.0;54.6;0.0434;69.31;27.58;353.85;49.95;0.251;14.09
815.0;55.16;0.1634;69.25;27.91;352.89;45.84;0.252;13.96
816.0;54.74;-0.1196;69.1;27.83;355.09;46.57;0.171;14.07
817.0;55.13;0.0817;69.29;27.66;354.37;46.96;0.354;13.65
818.0;55.15;0.0285;69.35;27.87;354.57;47.51;0.272;13.75
819.0;54.3;-0.216;69.24;27.7;355.53;48.47;0.245;13.75
820.0;54.7;0.1106;69.26;28.13;355.33;57.1;0.232;13.94
821.0;55.85;0.2885;69.14;27.8;354.61;48.81;0.155;14.0
822.0;54.29;-0.4278;68.98;27.59;351.67;-14.14;0.218;13.83
823.0;53.72;-0.1616;68.96;28.1;352.48;39.29;0.068;14.02
824.0;53.87;-0.0106;69.11;27.59;352.43;44.24;0.06;13.66
825.0;55.01;0.2565;69.03;27.95;354.34;52.17;0.238;14.02
826.0;55.01;0.0231;68.99;27.82;353.59;48.87;0.108;14.05
827.0;54.92;-0.1286;69.04;27.66;351.83;29.62;0.03;13.97
828.0;55.72;0.2304;69.08;27.76;353.35;50.63;0.0;13.83
829.0;53.39;-0.6668;68.9;27.85;351.42;-19.92;0.331;13.98
830.0;55.23;0.564;68.97;27.8;353.28;39.48;0.39;13.58
831.0;55.93;0.1747;69.11;27.98;351.65;54.21;0.386;13.85
832.0;54.32;-0.4217;68.89;27.9;353.82;-20.4;0.028;13.88
833.0;54.77;0.1089;69.03;28.12;353.93;50.78;0.353;13.47
834.0;54.54;-0.0575;68.91;27.44;355.51;46.78;0.331;13.92
835.0;54.46;0.006;68.98;27.78;354.38;37.34;0.414;13.49
836.0;54.8;0.0763;69.01;27.99;352.91;48.84;0.22;13.69
837.0;55.85;0.3323;68.96;27.95;354.32;52.66;0.014;13.81
838.0;56.1;0.0287;68.96;28.03;351.66;49.75;0.321;13.62
839.0;54.79;-0.3504;68.78;28.25;351.81;-21.54;0.041;13.82
840.0;56.14;0.4105;68.95;27.98;353.71;46.69;0.346;13.82
841.0;55.02;-0.2851;68.78;28.17;350.37;-18.61;0.004;13.59
842.0;56.05;0.3631;68.85;27.62;353.06;51.01;0.328;13.94
843.0;54.94;-0.3383;68.84;27.81;351.86;-12.71;0.193;13.61
844.0;55.08;-0.0177;68.84;27.83;353.21;51.84;0.452;14.37
845.0;55.22;-0.0006;68.82;27.93;351.74;39.5;0.336;13.77
846.0;56.9;0.4954;68.71;28.02;353.32;43.0;0.0;13.51
847.0;55.51;-0.368;68.65;28.11;352.72;-11.72;0.309;13.55
848.0;54.57;-0.2556;68.82;28.0;354.71;-22.98;0.3;14.09
849.0;55.58;0.2345;68.75;27.87;352.9;47.98;0.178;13.7
850.0;54.78;-0.1911;68.81;28.0;352.1;48.62;0.091;13.46
851.0;54.7;-0.0703;68.7;28.15;352.5;41.25;0.155;14.01
852.0;55.54;0.2794;68.58;28.08;350.93;50.87;0.0;13.7
853.0;55.02;-0.0319;68.75;27.75;353.39;49.67;0.404;13.96
854.0;55.17;0.0559;68.63;28.03;353.36;45.21;0.177;14.03
855.0;55.01;-0.0207;68.67;27.97;355.71;46.57;0.247;13.87
856.0;55.2;0.0341;68.58;28.06;351.81;39.64;0.376;14.4
857.0;55.25;-0.0577;68.75;27.87;352.58;46.16;0.0;13.37
858.0;53.84;-0.4177;68.53;28.07;351.77;-19.06;0.32;13.6
859.0;55.4;0.3902;68.56;28.03;352.77;48.3;0.0;13.74
860.0;54.41;-0.3326;68.58;27.99;353.02;-21.1;0.019;14.37
861.0;54.13;-0.0078;68.47;28.15;352.27;47.4;0.077;14.25
862.0;54.96;0.2416;68.57;28.03;353.84;46.16;0.211;14.12
863.0;55.05;0.0389;68.66;27.9;351.98;48.44;0.096;13.6
864.0;54.58;-0.1419;68.48;28.01;353.53;50.86;0.307;13.63
865.0;55.5;0.2472;68.54;27.97;353.11;47.34;0.174;13.59
866.0;54.19;-0.3236;68.27;28.04;351.9;-15.03;0.0;13.6
867.0;54.76;0.1546;68.47;28.36;351.95;46.27;0.182;14.17
868.0;54.65;-0.0084;68.44;27.86;355.17;44.33;0.0;13.74
869.0;54.97;0.0819;68.38;28.23;351.17;49.31;0.346;13.77
870.0;55.17;0.0406;68.52;28.25;352.78;45.19;0.313;13.99
871.0;54.39;-0.2707;68.39;27.87;351.27;-17.14;0.38;13.38
872.0;55.43;0.2096;68.39;28.17;354.31;47.78;0.184;13.81
873.0;55.04;-0.1207;68.36;27.95;353.17;46.07;0.191;13.53
874.0;53.86;-0.3236;68.22;28.25;351.01;-19.91;0.28;13.73
875.0;53.82;-0.0625;68.27;28.11;352.53;44.1;0.318;13.65
876.0;54.99;0.323;68.43;28.19;352.54;40.66;0.386;13.64
877.0;54.87;-0.0326;68.17;27.85;351.08;48.66;0.25;13.86
878.0;54.94;-0.0666;68.26;28.27;352.8;48.12;0.256;13.86
879.0;54.98;-0.024;68.27;28.42;352.39;50.63;0.331;13.75
880.0;55.14;0.0586;68.43;28.07;352.5;45.25;0.017;13.89
881.0;55.57;0.1358;68.34;27.94;352.01;55.37;0.075;13.58
882.0;54.33;-0.3893;68.22;28.24;352.33;-17.78;0.292;13.97
883.0;54.3;-0.0038;68.35;28.28;352.36;43.08;0.3;13.75
884.0;54.34;0.054;68.18;27.72;351.79;42.65;0.219;13.68
885.0;55.17;0.2615;68.3;28.47;351.21;40.48;0.167;13.6
886.0;55.75;0.1555;68.1;28.15;353.59;54.09;0.057;13.74
887.0;54.74;-0.2981;68.28;28.38;350.67;-19.43;0.306;14.27
888.0;53.5;-0.3702;68.14;28.22;352.17;-13.16;0.344;13.78
889.0;53.98;0.1517;68.08;27.79;351.14;42.69;0.378;13.51
890.0;54.5;0.153;68.13;28.38;353.74;54.02;0.119;14.03
891.0;54.67;0.0711;68.16;28.16;350.6;45.53;0.14;13.68
892.0;54.75;0.0302;68.08;28.39;350.65;45.94;0.285;13.87
893.0;55.02;0.1072;68.15;28.19;350.51;53.02;0.422;13.65
894.0;54.81;-0.0546;68.05;28.23;351.84;49.71;0.364;14.12
895.0;55.63;0.2582;68.13;28.09;349.98;56.65;0.226;13.65
896.0;54.59;-0.2527;68.1;28.36;350.99;-16.36;0.173;14.15
897.0;54.48;-0.0632;68.04;28.12;348.87;45.17;0.191;13.54
898.0;55.29;0.1512;68.0;28.66;351.65;45.08;0.133;13.73
899.0;54.08;-0.274;68.03;28.62;350.83;-15.99;0.125;14.15
900.0;51.38;-0.7383;68.05;28.51;349.68;-26.0;0.371;13.84
901.0;47.63;-1.111;68.16;28.47;352.99;-18.2;0.248;14.37
902.0;44.15;-0.9952;68.06;28.55;349.91;-11.75;0.24;13.73
903.0;42.1;-0.5401;68.05;28.42;352.41;-14.02;0.282;13.86
904.0;37.89;-1.1796;68.2;28.25;350.93;-23.54;0.354;14.28
905.0;36.82;-0.3174;67.98;28.42;353.25;-18.94;0.477;13.42
906.0;32.96;-1.0168;67.97;28.6;352.2;-21.6;0.471;13.39
907.0;30.01;-0.8606;67.97;28.36;350.1;-12.87;0.402;13.6
908.0;28.66;-0.4059;67.83;28.42;349.91;-17.27;0.26;14.0
909.0;25.97;-0.7391;67.86;28.06;351.8;-20.3;0.191;13.4
910.0;24.3;-0.4479;67.84;28.35;350.73;-17.9;0.253;13.95
911.0;23.26;-0.27;67.92;28.05;351.0;-25.82;0.125;13.93
912.0;21.74;-0.3848;67.85;28.45;352.58;-21.25;0.339;14.3
913.0;19.54;-0.6047;67.86;28.28;350.18;-17.89;0.234;14.06
914.0;19.11;-0.0993;67.93;28.46;351.32;7.12;0.397;13.89
915.0;17.92;-0.3421;67.9;28.33;352.3;-15.46;0.301;14.14
916.0;16.88;-0.2859;67.8;28.19;351.93;-23.82;0.367;13.93
917.0;15.21;-0.4583;67.75;28.36;350.67;-19.14;0.339;13.68
918.0;14.67;-0.142;67.89;28.38;350.78;13.08;0.228;13.51
919.0;11.75;-0.7792;67.85;28.62;348.96;-14.97;0.285;13.66
920.0;11.79;0.0322;67.65;28.2;349.37;6.81;0.331;13.79
921.0;10.62;-0.3227;67.74;28.44;351.21;-22.35;0.174;13.84
922.0;10.43;-0.0847;67.77;28.1;350.72;4.98;0.083;13.27
923.0;9.29;-0.3139;67.81;28.07;351.06;-17.31;0.571;13.75
924.0;8.86;-0.121;67.81;28.68;352.22;4.03;0.301;13.81
925.0;9.46;0.1748;67.75;28.71;349.42;4.77;0.207;13.94
926.0;7.65;-0.4158;67.76;28.27;350.59;-17.8;0.099;14.21
927.0;7.46;-0.0744;67.71;28.25;351.0;-0.09;0.178;13.85
928.0;6.57;-0.231;67.64;28.36;349.78;5.83;0.234;13.57
929.0;6.28;-0.0363;67.66;28.48;352.39;-4.38;0.222;13.35
930.0;8.95;0.7461;67.68;28.34;351.79;-5.13;0.141;13.97
931.0;11.74;0.8682;67.66;28.43;351.02;6.28;0.093;13.58
932.0;14.52;0.7563;67.5;28.47;352.5;14.28;0.349;14.02
933.0;16.99;0.6996;67.61;28.38;348.77;11.31;0.2;14.15
934.0;18.22;0.3089;67.64;28.33;350.61;10.96;0.132;13.41
935.0;20.27;0.557;67.6;28.3;350.98;6.83;0.263;13.94
936.0;20.98;0.2076;67.59;28.43;349.43;16.74;0.119;14.12
937.0;23.26;0.6646;67.64;28.46;350.98;19.74;0.148;14.05
938.0;25.39;0.6059;67.5;28.33;349.02;11.99;0.081;13.28
939.0;26.76;0.4302;67.45;28.4;351.06;24.96;0.15;13.59
940.0;27.68;0.2519;67.54;28.57;351.68;24.36;0.232;13.48
941.0;29.31;0.4384;67.61;28.55;350.9;27.37;0.14;13.93
942.0;30.2;0.3577;67.68;28.7;348.48;26.03;0.037;13.9
943.0;31.69;0.4275;67.59;28.21;349.37;27.72;0.082;13.13
944.0;32.12;0.0923;67.4;28.35;350.81;27.6;0.077;13.72
945.0;32.65;0.1185;67.49;28.51;350.34;29.49;0.271;14.0
946.0;33.91;0.3136;67.51;28.74;347.13;19.94;0.282;13.84
947.0;32.74;-0.2874;67.49;28.13;351.82;-12.86;0.036;13.84
948.0;35.47;0.7418;67.51;28.47;350.53;25.75;0.377;13.71
949.0;33.73;-0.4769;67.38;28.63;349.12;-18.69;0.07;13.54
950.0;35.52;0.4948;67.45;28.37;351.43;30.3;0.281;13.8
951.0;37.42;0.556;67.46;28.45;349.45;31.85;0.299;13.81
952.0;37.98;0.1231;67.48;28.58;349.48;35.55;0.231;13.95
953.0;37.51;-0.1743;67.34;28.44;350.44;35.23;0.179;13.97
954.0;38.26;0.2161;67.36;28.79;352.2;27.85;0.029;13.82
955.0;39.95;0.494;67.16;28.47;351.6;33.9;0.26;14.07
956.0;39.25;-0.1816;67.32;28.64;350.4;28.89;0.191;13.71
957.0;41.26;0.5283;67.31;28.39;350.51;33.45;0.103;13.44
958.0;40.27;-0.2482;67.26;28.29;350.8;34.55;0.375;13.92
959.0;40.85;0.1305;67.34;28.58;348.51;20.17;0.233;13.83
960.0;41.88;0.2661;67.31;28.25;350.72;44.43;0.488;13.92
961.0;41.28;-0.2059;67.12;28.53;348.68;36.48;0.381;13.48
962.0;40.86;-0.0629;67.31;28.6;350.32;31.44;0.058;14.25
963.0;41.65;0.2428;67.2;28.38;349.46;42.27;0.502;13.98
964.0;41.92;0.1005;67.3;28.6;350.53;33.44;0.38;13.73
965.0;41.34;-0.1122;67.15;28.28;349.76;34.8;0.302;13.57
966.0;42.2;0.3526;67.24;28.75;346.12;33.14;0.047;14.07
967.0;42.1;-0.098;67.2;28.58;349.94;41.6;0.446;13.52
968.0;43.27;0.296;67.23;28.82;350.57;35.68;0.259;14.37
969.0;42.89;-0.1285;67.21;28.57;350.28;36.35;0.084;13.65
970.0;42.85;-0.0456;67.16;28.69;349.53;40.52;0.401;14.23
971.0;43.1;0.0248;67.05;28.56;351.39;38.28;0.161;13.75
972.0;43.42;0.0787;67.04;28.63;349.77;36.03;0.384;14.2
973.0;43.78;0.0502;67.1;28.75;350.04;41.03;0.301;13.62
974.0;42.92;-0.2251;67.13;28.44;350.84;45.93;0.1;13.8
975.0;43.0;0.0239;67.07;28.7;349.89;37.12;0.435;14.0
976.0;44.38;0.4037;67.15;28.62;348.56;37.63;0.109;13.97
977.0;43.56;-0.2076;67.07;28.72;346.53;37.07;0.22;14.08
978.0;43.04;-0.1202;67.0;28.63;348.75;41.13;0.124;13.68
979.0;44.24;0.3167;67.04;28.55;350.32;34.63;0.284;13.82
980.0;44.32;0.1081;67.07;28.47;349.04;35.99;0.287;14.11
981.0;43.19;-0.3044;67.06;28.66;350.41;-18.51;0.125;13.62
982.0;44.31;0.2362;67.18;28.47;349.86;32.36;0.264;13.94
983.0;44.67;0.0604;66.96;28.65;350.78;35.37;0.49;13.75
984.0;44.51;-0.1148;66.99;28.61;348.95;37.06;0.279;13.85
985.0;44.71;0.0576;67.02;28.83;349.92;44.55;0.034;13.82
986.0;43.54;-0.3313;66.97;28.66;349.86;-15.44;0.313;13.6
987.0;44.62;0.2825;66.92;28.8;350.95;33.74;0.06;13.73
988.0;44.28;-0.014;66.82;28.64;346.9;34.16;0.381;13.84
989.0;44.21;0.0023;66.89;28.8;348.55;42.5;0.199;13.77
990.0;45.06;0.2643;66.83;28.87;349.99;42.31;0.387;14.19
991.0;45.46;0.0732;66.77;28.63;350.7;38.3;0.17;14.05
992.0;45.68;0.0209;66.83;28.82;349.25;36.62;0.132;13.87
993.0;45.42;-0.0707;66.79;28.62;348.55;42.65;0.432;13.61
994.0;44.59;-0.2233;66.91;28.81;350.05;33.38;0.3;13.59
995.0;44.89;0.0096;66.9;28.91;350.16;39.21;0.35;14.29
996.0;45.16;0.0681;66.77;29.03;348.41;46.99;0.299;13.55
997.0;44.79;-0.1012;66.8;28.74;349.31;38.38;0.196;13.83
998.0;44.82;-0.0016;66.66;28.91;350.05;34.48;0.243;13.89
999.0;45.25;0.088;66.76;28.56;351.09;39.63;0.078;13.72
1000.0;44.74;-0.1641;66.82;28.69;349.84;35.62;0.197;13.55
1001.0;44.35;-0.1144;66.84;28.87;349.04;31.56;0.459;13.6
1002.0;44.56;0.0602;66.7;29.04;348.64;40.13;0.253;13.66
1003.0;45.2;0.2027;66.83;29.08;349.64;42.41;0.194;13.62
1004.0;44.83;-0.0584;66.61;28.65;348.38;36.35;0.122;14.13
1005.0;45.05;0.0477;66.62;29.15;348.77;36.29;0.212;13.8
1006.0;45.26;0.0398;66.76;28.78;347.56;34.15;0.301;13.67
1007.0;44.64;-0.1538;66.83;28.79;350.52;36.81;0.379;13.83
1008.0;45.33;0.2156;66.72;28.94;347.37;35.81;0.076;13.97
1009.0;45.11;-0.0778;66.66;29.1;348.11;33.81;0.059;13.71
1010.0;44.15;-0.2351;66.48;28.65;348.36;44.51;0.077;14.03
1011.0;45.76;0.4875;66.48;28.85;350.64;40.34;0.042;13.48
1012.0;44.61;-0.2702;66.64;29.02;348.07;-21.98;0.056;14.09
1013.0;43.92;-0.1194;66.58;28.95;347.67;40.26;0.412;13.8
1014.0;44.29;0.0687;66.51;29.03;347.66;40.16;0.134;13.79
1015.0;44.31;0.0061;66.59;28.77;350.47;35.44;0.093;13.63
1016.0;44.96;0.1808;66.58;29.14;345.09;38.8;0.318;13.49
1017.0;44.77;-0.0569;66.63;28.96;347.37;36.46;0.076;13.38
1018.0;44.74;-0.0352;66.56;28.78;351.69;39.25;0.17;13.61
1019.0;45.32;0.1012;66.63;28.66;349.27;39.42;0.3;13.95
1020.0;45.15;-0.0418;66.52;28.98;347.01;36.36;0.0;13.56
1021.0;45.14;-0.0337;66.5;28.89;348.24;32.57;0.141;13.41
1022.0;45.2;0.02;66.58;28.95;348.53;38.53;0.236;13.57
1023.0;45.33;0.0035;66.4;29.21;349.11;37.24;0.0;13.7
1024.0;43.7;-0.4972;66.69;28.78;350.89;-18.66;0.001;13.71
1025.0;44.74;0.3007;66.48;28.92;348.73;39.54;0.103;13.77
1026.0;43.66;-0.2959;66.47;28.9;347.59;-19.37;0.077;14.06
1027.0;44.99;0.3932;66.47;28.89;349.17;47.85;0.243;14.11
1028.0;44.97;0.0813;66.56;29.1;347.59;36.15;0.25;14.3
1029.0;45.6;0.1867;66.46;28.88;346.98;36.17;0.117;13.39
1030.0;45.69;0.0436;66.26;28.9;345.69;33.97;0.247;13.59
1031.0;45.1;-0.2068;66.48;29.15;346.39;38.68;0.388;13.97
1032.0;44.68;-0.1682;66.33;29.12;346.88;38.25;0.071;13.69
1033.0;45.27;0.228;66.35;28.82;346.58;34.76;0.332;14.02
1034.0;44.66;-0.2054;66.23;28.89;348.12;36.73;0.0;13.85
1035.0;44.98;0.0464;66.36;29.2;346.57;29.82;0.292;14.19
1036.0;45.58;0.1634;66.25;29.15;344.02;42.0;0.116;14.06
1037.0;44.65;-0.2606;66.3;29.14;346.63;-18.42;0.062;14.07
1038.0;45.47;0.1914;66.26;29.02;347.23;38.06;0.065;13.7
1039.0;45.39;-0.0333;66.42;28.93;347.4;32.42;0.087;13.78
1040.0;44.41;-0.2226;66.41;29.31;349.94;34.86;0.211;13.72
1041.0;45.57;0.2894;66.24;28.97;347.03;37.18;0.282;13.42
1042.0;45.41;-0.1014;66.23;28.75;348.8;38.09;0.273;14.17
1043.0;45.05;-0.0615;66.18;29.31;347.62;39.72;0.137;13.99
1044.0;44.53;-0.1242;66.29;29.35;347.81;43.06;0.369;13.71
1045.0;44.48;-0.0408;66.16;28.81;346.6;40.18;0.161;14.13
1046.0;44.67;-0.0095;66.14;29.2;347.49;41.28;0.468;13.64
1047.0;45.32;0.1504;66.24;28.96;346.84;43.84;0.265;13.34
1048.0;44.42;-0.2517;66.1;29.06;347.69;-15.45;0.462;14.05
1049.0;45.26;0.279;66.13;29.25;347.25;37.85;0.249;13.48
1050.0;44.25;-0.3212;65.99;29.28;346.12;-16.34;0.194;13.75
1051.0;44.87;0.1697;66.16;28.97;348.79;41.92;0.293;13.85
1052.0;45.06;0.0794;66.25;29.36;348.29;40.4;0.155;13.9
1053.0;46.46;0.2941;66.14;29.07;347.01;33.32;0.31;14.01
1054.0;44.17;-0.5956;66.18;29.23;347.82;-20.25;0.204;13.95
1055.0;45.88;0.4277;65.98;28.97;347.14;37.49;0.0;13.94
1056.0;45.09;-0.207;66.06;28.97;346.35;40.95;0.454;13.6
1057.0;45.24;0.0535;65.95;29.37;347.26;37.9;0.004;13.87
1058.0;45.07;-0.0054;65.99;29.38;346.52;42.36;0.369;13.42
1059.0;45.26;0.0765;66.06;29.21;346.26;43.26;0.0;14.19
1060.0;44.9;-0.1948;65.99;29.31;345.31;42.46;0.194;13.45
1061.0;45.87;0.2366;65.86;29.03;346.55;43.4;0.299;13.71
1062.0;44.72;-0.3128;65.85;29.17;347.65;-17.59;0.084;13.47
1063.0;45.68;0.257;65.83;29.31;346.1;40.32;0.292;13.62
1064.0;44.61;-0.277;65.97;29.47;350.24;-13.53;0.274;13.8
1065.0;44.96;0.129;66.08;29.43;348.51;31.12;0.262;13.67
1066.0;44.35;-0.1442;66.01;29.33;348.87;35.99;0.065;14.09
1067.0;45.27;0.246;65.74;29.23;347.7;43.31;0.306;13.86
1068.0;45.87;0.0912;65.99;29.19;349.48;40.42;0.22;13.68
1069.0;44.95;-0.2719;65.94;29.05;346.21;-20.49;0.251;13.77
1070.0;44.88;-0.0032;65.73;29.0;343.64;38.35;0.157;14.1
1071.0;44.33;-0.1965;65.81;29.06;346.36;46.9;0.052;14.03
1072.0;44.86;0.1728;65.91;29.21;347.76;38.33;0.217;13.52
1073.0;44.04;-0.1909;65.86;29.24;347.16;36.93;0.252;13.63
1074.0;44.45;0.1184;65.69;28.86;346.98;32.11;0.302;13.92
1075.0;45.14;0.0674;65.83;29.19;348.52;42.32;0.023;13.89
1076.0;45.79;0.1309;65.6;29.2;346.92;36.49;0.204;13.54
1077.0;46.68;0.3238;65.74;29.02;347.7;36.76;0.141;13.99
1078.0;44.65;-0.5878;65.84;29.39;345.81;-17.56;0.131;13.58
1079.0;45.86;0.2576;65.73;29.24;345.41;43.2;0.14;14.13
1080.0;45.15;-0.1492;65.68;29.22;348.55;42.42;0.246;13.93
1081.0;44.91;-0.0653;65.78;29.39;346.94;36.21;0.404;13.52
1082.0;45.26;0.1415;65.77;29.02;346.05;37.79;0.128;13.67
1083.0;45.04;-0.0507;65.78;28.9;346.08;37.55;0.366;13.66
1084.0;45.07;0.0264;65.74;29.31;345.95;40.94;0.026;13.84
1085.0;44.75;-0.0719;65.74;29.25;345.89;43.73;0.307;13.75
1086.0;44.16;-0.1371;65.7;29.37;345.11;38.43;0.216;13.51
1087.0;44.07;0.0669;65.65;29.01;344.75;44.77;0.018;13.45
1088.0;45.39;0.405;65.62;29.1;346.26;41.71;0.045;13.94
1089.0;44.83;-0.2182;65.58;29.51;345.7;36.65;0.0;13.87
1090.0;44.64;-0.0354;65.49;29.39;347.56;40.72;0.488;13.83
1091.0;45.0;0.1464;65.5;29.74;346.59;44.58;0.041;13.87
1092.0;45.48;0.1792;65.54;29.47;346.64;46.2;0.0;13.65
1093.0;45.11;-0.1195;65.56;29.45;345.49;42.6;0.026;13.85
1094.0;44.61;-0.0928;65.65;29.73;346.41;37.48;0.426;14.43
1095.0;45.74;0.3508;65.52;29.27;346.71;37.58;0.375;14.09
1096.0;45.95;0.1617;65.59;29.61;347.28;40.95;0.554;13.73
1097.0;45.3;-0.2108;65.58;29.52;346.3;44.73;0.457;13.67
1098.0;45.58;0.0596;65.46;29.79;347.46;40.04;0.378;13.08
1099.0;45.75;0.0325;65.51;29.44;346.29;40.28;0.12;14.07
1100.0;43.58;-0.6216;65.43;29.67;347.06;-18.58;0.198;14.0
1101.0;41.32;-0.6641;65.54;29.44;345.75;-18.19;0.101;13.66
1102.0;39.49;-0.6177;65.48;29.49;344.03;-22.89;0.064;13.44
